month,year,quarter,days_in_month,semrush_rank,semrush_organic_keywords,semrush_kw_top3,semrush_kw_top4_10,semrush_kw_top11_20,semrush_kw_top21_100,semrush_traffic_est,semrush_traffic_cost_gbp,semrush_paid_keywords,semrush_paid_traffic,gsc_days_with_data,gsc_total_clicks,gsc_total_impressions,gsc_ctr_pct,gsc_avg_pos_overview,gsc_click_weighted_avg_pos,gsc_distinct_queries,gsc_landing_pages,gsc_countries,gsc_desktop_clicks,gsc_mobile_clicks,gsc_tablet_clicks,gsc_desktop_impressions,gsc_mobile_impressions,gsc_tablet_impressions,ga4_organic_all_sessions,ga4_organic_all_users,ga4_organic_all_purchases,ga4_organic_all_revenue_gbp,ga4_organic_all_landing_pages,ga4_organic_search_sessions,ga4_organic_search_users,ga4_organic_search_purchases,ga4_organic_search_revenue_gbp,ads_clicks,ads_impressions,ads_cost_gbp,ads_conversions,ads_conv_value_gbp,ads_roas,ads_cpc_gbp,ads_ctr_pct,ads_active_campaigns,ads_product_distinct_products,ads_product_clicks,ads_product_impressions,ads_product_cost_gbp,ads_product_conversions,ads_product_conv_value_gbp,ads_product_roas,ads_st_unique_terms,ads_st_clicks,ads_st_impressions,data_flags
2023-07,2023,Q3,31,150410,3838,35,243,657,2901,1871,543,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,3278,321362,741.73,427.03,3646.69,4.9165,0.2263,1.0200,28,,,,,,,,,,,,SE|ADS
2023-08,2023,Q3,31,121958,4075,55,284,731,3002,2480,646,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3811,364740,833.82,238.15,7313.88,8.7715,0.2188,1.0449,43,,,,,,,,,,,,SE|ADS
2023-09,2023,Q3,30,122575,4438,67,306,790,3271,2434,682,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5394,577755,1315.44,649.20,13905.54,10.5710,0.2439,0.9336,31,,,,,,,,,,,,SE|ADS
2023-10,2023,Q4,31,83817,5249,133,433,1022,3645,3979,1054,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10622,1097918,2794.08,1639.06,33500.80,11.9899,0.2630,0.9675,34,,,,,,,,,,,,SE|ADS
2023-11,2023,Q4,30,94314,5258,133,439,849,3816,3493,934,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9927,932005,2756.05,743.57,20748.55,7.5284,0.2776,1.0651,31,,,,,,,,,,,,SE|ADS
2023-12,2023,Q4,31,79565,5988,147,438,750,4648,4292,1174,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7218,757139,2084.93,410.95,13031.01,6.2501,0.2889,0.9533,13,,,,,,,,,,,,SE|ADS
2024-01,2024,Q1,31,73521,6860,168,467,802,5417,5003,1557,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13985,1434608,3965.06,643.21,20754.82,5.2344,0.2835,0.9748,21,,,,,,,,,,,,SE|ADS
2024-02,2024,Q1,29,75252,7049,170,491,802,5580,4895,1381,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14049,1372205,4419.56,611.35,25119.41,5.6837,0.3146,1.0238,33,,,,,,,,,,,,SE|ADS
2024-03,2024,Q1,31,79683,6819,194,550,774,5295,4575,1212,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16433,1586295,5786.62,619.12,23255.82,4.0189,0.3521,1.0359,30,,,,,,,,,,,,SE|ADS
2024-04,2024,Q2,30,64264,7190,230,653,982,5314,5873,1630,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,14762,1442836,5109.87,630.99,21897.13,4.2853,0.3462,1.0231,41,,,,,,,,,,,,SE|ADS
